species,strain,treat,day,density,aspect_ratio,size,speed,linearity
Spiro,Spiro_C,C,3.1,8.87951807228916,4.46375,3.4001592196351766,33.1925,0.626408380004126
Spiro,Spiro_C,C,4.1,17.4698795180723,4.032,3.4738586740816273,39.5533333333333,0.703432703081243
Spiro,Spiro_C,C,5.1,16.8674698795181,4.565,3.4251336968402906,45.2914285714286,0.807245183612511
Spiro,Spiro_C,C,6.1,9.57831325301205,5.02333333333333,3.4769819364421193,39.4477777777778,0.592524772343665
Spiro,Spiro_C,C,7.1,20.0722891566265,5.20611111111111,3.4058917557344515,33.4277777777778,0.590319966336756
Spiro,Spiro_C,C,8.1,32.3493975903614,4.57161290322581,3.3497411291342747,25.3932258064516,0.560526345180246
Spiro,Spiro_C,C,9,44.4939759036145,4.01024390243902,3.405888644857672,29.6329268292683,0.593284207572215
Spiro,Spiro_C,C,10,47.4939759036145,4.92586956521739,3.3187217667117763,32.8995652173913,0.542960560927626
Spiro,Spiro_C,C,11,57.1204819277108,5.05754716981132,3.328516191020162,27.4352830188679,0.587066999284339
Spiro,Spiro_C,C,12,38.2650602409639,4.82428571428571,3.3166847698766686,34.3282857142857,0.749784774336095
Spiro,Spiro_C,C,13,66.8313253012048,4.87953125,3.3750188654550897,46.395,0.852201660949947
Spiro,Spiro_C,C,14,41.5180722891566,5.54309523809524,3.3849246805101023,40.2154761904762,0.793433341069962
Spiro,Spiro_C,C,15.1,66.8674698795181,5.84596774193548,3.4128603250955485,37.9035483870968,0.744726746250656
Spiro,Spiro_C,C,16,102.795180722892,5.08446601941748,3.414531920733081,51.3506796116505,0.870521188892103
Spiro,Spiro_C,C,17.1,53.4096385542169,5.64634615384615,3.4218118183652173,41.3284615384615,0.809545915152389
Spiro,Spiro_C,C,18,66.8433734939759,5.606,3.39308028941883,53.0694285714286,0.934842352934039
Spiro,Spiro_C,C,20,92.3734939759036,5.67967032967033,3.4098218753239142,44.5601098901099,0.842186209036603
Spiro,Spiro_C,C,22,78.6024096385542,4.52743243243243,3.4667066680225407,41.2554054054054,0.813832523288936
Spiro,Spiro_C,C,24,67.9036144578313,5.82633802816901,3.3691696128066413,38.6876056338028,0.766187783016634
Spiro,Spiro_C,C,31,160.975903614458,5.22754601226994,3.3927072547005475,41.6955214723926,0.667592557001592
Spiro,Spiro_C,C,34,147.012048192771,4.62796703296703,3.3072792715139467,28.8104395604396,0.509471732651519
Spiro,Spiro_C,C,36,213.963855421687,5.53529411764706,3.3690097346331833,57.1020168067227,0.869236682358171
Spiro,Spiro_C,C,38,270.433734939759,5.07815286624204,3.375589432515977,43.7966560509554,0.72778476448662
Spiro,Spiro_C,T,3.1,4.86746987951807,3.91166666666667,3.463340940009458,51.24,0.814523673055748
Spiro,Spiro_C,T,4.1,19.2530120481928,4.45125,3.480952068194867,51.144375,0.819658189032864
Spiro,Spiro_C,T,5.1,16.9036144578313,4.986875,3.424086607626347,42.3925,0.724583526330591
Spiro,Spiro_C,T,6.1,12.9036144578313,4.82769230769231,3.4020945125202062,52.3746153846154,0.803794385658136
Spiro,Spiro_C,T,7.1,23.5180722891566,4.71428571428571,3.341104356027625,42.5533333333333,0.775534350861762
Spiro,Spiro_C,T,8.1,47.2409638554217,5.80488888888889,3.373206667073329,38.8526666666667,0.598363768892315
Spiro,Spiro_C,T,9,45.1807228915663,5.59239130434783,3.31978140501285,32.519347826087,0.544716971044024
Spiro,Spiro_C,T,10,31.0602409638554,4.81088235294118,3.3854263578909642,41.3702941176471,0.835750888248938
Spiro,Spiro_C,T,11,42.0722891566265,6.17864864864865,3.414227771423494,39.3410810810811,0.820860892780197
Spiro,Spiro_C,T,12,27.7469879518072,4.6744,3.2753585368646294,32.6272,0.69414922127311
Spiro,Spiro_C,T,13,33.6024096385542,5.44794117647059,3.447221209294716,46.0185294117647,0.912703368413906
Spiro,Spiro_C,T,14,21.9036144578313,5.75208333333333,3.3539170319644858,40.27875,0.864742832070881
Spiro,Spiro_C,T,15.1,43.2048192771084,6.24857142857143,3.4052087788634826,42.7454761904762,0.869261696704181
Spiro,Spiro_C,T,16,40.3975903614458,5.544,3.4623686445902977,52.58825,0.86539665122983
Spiro,Spiro_C,T,17.1,30.9277108433735,5.35727272727273,3.447225661331499,49.2918181818182,0.902821173532853
Spiro,Spiro_C,T,18,27.4457831325301,6.40793103448276,3.3789074014043736,46.8551724137931,0.869821376158117
Spiro,Spiro_C,T,20,41.2409638554217,5.06604651162791,3.49714638740496,50.5274418604651,0.916586627590347
Spiro,Spiro_C,T,22,40.6265060240964,5.56348837209302,3.42953194178661,48.8023255813954,0.884948115201884
Spiro,Spiro_C,T,24,24.3614457831325,5.43111111111111,3.3667864985491613,44.5785185185185,0.890187085025636
Spiro,Spiro_C,T,27,13.7590361445783,6.38875,3.3707399385690944,46.64,0.930896097506542
Spiro,Spiro_C,T,29,39.4819277108434,5.8474358974359,3.4570095221390775,46.764358974359,0.7787839938456
Spiro,Spiro_C,T,31,45.3373493975904,5.03204545454545,3.435446729584572,42.9975,0.810253000632038
